date,user1,user2
2025-05-10,Qwen/Qwen2.5-7B-Instruct,dicta-il/BEREL_3.0
2025-05-11,nvidia/OpenCodeReasoning-Nemotron-7B,dicta-il/BEREL_3.0
2025-05-12,Qwen/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B
2025-05-13,deepseek-ai/deepseek-llm-7b-chat,dicta-il/BEREL_3.0
2025-05-14,Qwen/Qwen2.5-7B-Instruct,dicta-il/BEREL_3.0
2025-05-15,nvidia/OpenCodeReasoning-Nemotron-7B,deepseek-ai/deepseek-llm-7b-chat
2025-05-16,nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct
2025-05-17,nvidia/OpenCodeReasoning-Nemotron-7B,dicta-il/BEREL_3.0
2025-05-18,dicta-il/BEREL_3.0,deepseek-ai/deepseek-llm-7b-chat
2025-05-19,nvidia/OpenCodeReasoning-Nemotron-7B,dicta-il/BEREL_3.0
2025-05-20,nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct
2025-05-21,nvidia/OpenCodeReasoning-Nemotron-7B,deepseek-ai/deepseek-llm-7b-chat
2025-05-22,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct
2025-05-23,deepseek-ai/deepseek-llm-7b-chat,nvidia/OpenCodeReasoning-Nemotron-7B
2025-05-24,nvidia/OpenCodeReasoning-Nemotron-7B,nvidia/OpenCodeReasoning-Nemotron-7B
2025-05-25,dicta-il/BEREL_3.0,deepseek-ai/deepseek-llm-7b-chat
2025-05-26,nvidia/OpenCodeReasoning-Nemotron-7B,dicta-il/BEREL_3.0
2025-05-27,nvidia/OpenCodeReasoning-Nemotron-7B,deepseek-ai/deepseek-llm-7b-chat
2025-05-28,Qwen/Qwen2.5-7B-Instruct,dicta-il/BEREL_3.0
2025-05-29,deepseek-ai/deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-chat
2025-05-30,Qwen/Qwen2.5-7B-Instruct,dicta-il/BEREL_3.0
2025-05-31,Qwen/Qwen2.5-7B-Instruct,deepseek-ai/deepseek-llm-7b-chat
2025-06-01,deepseek-ai/deepseek-llm-7b-chat,dicta-il/BEREL_3.0
2025-06-02,dicta-il/BEREL_3.0,Qwen/Qwen2.5-7B-Instruct
2025-06-03,dicta-il/BEREL_3.0,dicta-il/BEREL_3.0
2025-06-04,Qwen/Qwen2.5-7B-Instruct,deepseek-ai/deepseek-llm-7b-chat
2025-06-05,dicta-il/BEREL_3.0,deepseek-ai/deepseek-llm-7b-chat
2025-06-06,dicta-il/BEREL_3.0,dicta-il/BEREL_3.0
2025-06-07,nvidia/OpenCodeReasoning-Nemotron-7B,dicta-il/BEREL_3.0
2025-06-08,Qwen/Qwen2.5-7B-Instruct,deepseek-ai/deepseek-llm-7b-chat
2025-06-09,deepseek-ai/deepseek-llm-7b-chat,dicta-il/BEREL_3.0
2025-06-10,nvidia/OpenCodeReasoning-Nemotron-7B,deepseek-ai/deepseek-llm-7b-chat
2025-06-11,dicta-il/BEREL_3.0,dicta-il/BEREL_3.0
2025-06-12,dicta-il/BEREL_3.0,nvidia/OpenCodeReasoning-Nemotron-7B
2025-06-13,deepseek-ai/deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-chat
2025-06-14,deepseek-ai/deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-chat
2025-06-15,Qwen/Qwen2.5-7B-Instruct,dicta-il/BEREL_3.0
2025-06-16,Qwen/Qwen2.5-7B-Instruct,deepseek-ai/deepseek-llm-7b-chat
2025-06-17,dicta-il/BEREL_3.0,deepseek-ai/deepseek-llm-7b-chat
2025-06-18,nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct
2025-06-19,deepseek-ai/deepseek-llm-7b-chat,Qwen/Qwen2.5-7B-Instruct
2025-06-20,Qwen/Qwen2.5-7B-Instruct,deepseek-ai/deepseek-llm-7b-chat
2025-06-21,nvidia/OpenCodeReasoning-Nemotron-7B,deepseek-ai/deepseek-llm-7b-chat
2025-06-22,dicta-il/BEREL_3.0,deepseek-ai/deepseek-llm-7b-chat
2025-06-23,deepseek-ai/deepseek-llm-7b-chat,dicta-il/BEREL_3.0
